stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,CAN,T,AT	191230 	215928 	204889 	223507 	266541 	214223 	238063 	206667 	192246 	166046 	179367 	173802 	133458 	137809 	126579 	110710 	121914 
EXP,CAN,T,BE	458775 	496640 	418977 	448870 	402128 	392294 	433782 	433861 	481481 	491972 	420846 	337801 	343651 	378236 	348659 	334401 	308312 
EXP,CAN,T,BG	40441 	45768 	41131 	37797 	31826 	29489 	32082 	33534 	37962 	39504 	50859 	31253 	28990 	34884 	42412 	30158 	31563 
EXP,CAN,T,CY	11334 	8759 	8404 	8416 	7974 	6314 	8628 	9106 	13121 	10394 	11513 	9334 	6795 	6852 	7547 	7127 	5920 
EXP,CAN,T,CZ	124774 	131392 	139765 	139936 	132015 	139382 	141511 	129662 	167595 	179646 	201135 	157127 	121367 	120948 	112822 	93993 	83614 
EXP,CAN,T,DE	1462410 	1473905 	1481444 	1543814 	1556039 	1592847 	1596670 	1460486 	1576179 	1551731 	1435517 	1266703 	1237077 	1309559 	1238212 	1123228 	1030715 
EXP,CAN,T,DK	150201 	135571 	125770 	127794 	111339 	106667 	115358 	102960 	98877 	100264 	99283 	108964 	102753 	86415 	88636 	93840 	88353 
EXP,CAN,T,EE	17893 	15943 	18087 	18508 	16387 	13903 	16394 	16423 	17057 	69590 	73560 	12680 	28919 	19423 	22323 	19833 	15997 
EXP,CAN,T,EL	32660 	32225 	27077 	29804 	25121 	25621 	29747 	37260 	49013 	49651 	54306 	30449 	25771 	28665 	36429 	30471 	22540 
EXP,CAN,T,ES	302688 	322406 	263154 	276703 	260285 	246094 	232895 	232594 	263434 	140389 	169875 	148310 	195481 	122362 	129669 	140029 	115749 
EXP,CAN,T,EU27_2020	1554745 d	1546196 d	1355216 d	1605307 d	1516626 d	1534667 d	1657004 d	1646058 d	1876294 d	1778587 d	1742649 d	1766964 d	1242531 d	1265667 d	1227705 d	1250565 d	985866 d
EXP,CAN,T,EU28	: 	2035759 d	1786219 d	1961165 d	1948811 d	1890598 d	2068098 d	2019198 d	2348795 d	2342229 d	2243290 d	2320959 d	2101659 d	1653538 d	1615215 d	1694097 d	1301624 d
EXP,CAN,T,FI	111008 	102657 	111192 	101309 	88817 	80433 	78633 	77350 	75977 	72755 	66447 	69184 	69957 	71677 	57151 	51658 	46515 
EXP,CAN,T,FR	746955 	798688 	782500 	774521 	752433 	738333 	816248 	757028 	754048 	749853 	733921 	590717 	617816 	672207 	658205 	587282 	553472 
EXP,CAN,T,HR	47903 	48136 	47598 	39678 	32140 	34455 	31202 	33513 	37907 	35678 	35699 	25982 	28657 	33264 	31937 	26742 	21638 
EXP,CAN,T,HU	130748 	136534 	122701 	111961 	104298 	101893 	108054 	114890 	105608 	98184 	68148 	54445 	43015 	52547 	62136 	76194 	70568 
EXP,CAN,T,IE	69672 	82748 	52294 	41701 	34202 	31090 	35708 	39546 	33583 	39698 	36345 	41778 	36408 	33606 	35930 	31687 	30601 
EXP,CAN,T,IT	307755 	351913 	327206 	356555 	356290 	321772 	285675 	280173 	287094 	277837 	278133 	249353 	219217 	171021 	155294 	153447 	125962 
EXP,CAN,T,LT	35807 	39081 	33987 	27583 	32399 	31700 	29033 	23484 	18407 	14721 	9547 	8277 	10151 	10741 	11188 	13532 	20335 
EXP,CAN,T,LU	10544 	11403 	11339 	10405 	12158 	12254 	6839 	7253 	9015 	8278 	8847 	9628 	13212 	19769 	20810 	21745 	18234 
EXP,CAN,T,LV	16720 	13493 	13555 	16094 	15099 	15064 	14755 	12909 	12363 	20377 	15676 	13876 	11302 	9774 	9063 	10618 	8110 
EXP,CAN,T,MT	686 	677 	1065 	817 	1181 	2595 	2615 	2546 	3344 	2884 	2871 	3204 	3332 	2959 	2265 	2394 	2465 
EXP,CAN,T,NL	627221 	591753 	616597 	650550 	664740 	648904 	635226 	586721 	672642 	633903 	618425 	623471 	518826 	566879 	649975 	480198 	401505 
EXP,CAN,T,PL	370814 	357107 	349346 	321768 	309734 	259692 	247905 	215242 	206891 	211579 	198117 	160506 	187314 	176561 	163873 	131060 	114592 
EXP,CAN,T,PT	92811 	80583 	75634 	72236 	70762 	68872 	74878 	76469 	93519 	87833 	94020 	54728 	69002 	73144 	79665 	84608 	64455 
EXP,CAN,T,RO	52880 	57641 	56643 	50243 	46676 	45346 	50165 	56232 	66135 	67896 	67796 	64009 	57423 	52487 	53115 	27555 	20767 
EXP,CAN,T,SE	309449 	294858 	277673 	243202 	184706 	168546 	180923 	161056 	181062 	154797 	132448 	146919 	165339 	168213 	119143 	117989 	124933 
EXP,CAN,T,SI	80814 	83890 	81125 	74071 	62826 	67926 	76499 	76310 	86061 	62296 	63304 	41397 	42557 	48008 	44328 	34235 	27881 
EXP,CAN,T,SK	90410 	111020 	101442 	114846 	68499 	60845 	51794 	56940 	43078 	35061 	25448 	24699 	32398 	33856 	28841 	19545 	18143 
EXP,CAN,T,UK	: 	832829 	726359 	666515 	761692 	681091 	763303 	714978 	853287 	971191 	896219 	861165 	1250361 	818333 	715212 	728485 	578279 
EXP,CAN,THS_EUR,AT	256512 	318978 	335587 	343556 	356421 	323327 	348110 	320298 	351554 	304724 	297554 	192043 	200507 	221372 	224333 	125924 	112118 
EXP,CAN,THS_EUR,BE	654415 	682441 	665904 	719408 	542957 	586582 	628292 	704441 	829679 	856827 	649976 	367924 	545532 	611304 	585222 	365224 	295213 
EXP,CAN,THS_EUR,BG	59815 	73750 	85760 	76055 	55017 	54826 	58454 	71533 	85079 	89463 	120215 	46734 	61408 	78121 	92276 	39868 	34965 
EXP,CAN,THS_EUR,CY	17596 	17206 	18036 	17385 	14072 	14491 	16614 	19334 	29748 	25989 	24432 	14873 	14325 	15941 	17149 	10828 	7291 
EXP,CAN,THS_EUR,CZ	285086 	301050 	350419 	317741 	250192 	293367 	335885 	336925 	444637 	543035 	626593 	399789 	319106 	321509 	293820 	151446 	114785 
EXP,CAN,THS_EUR,DE	2421608 	2562153 	2779160 	2901009 	2442110 	2878218 	2880182 	2773823 	3265013 	3435801 	2943905 	1644430 	2387522 	2737038 	2432709 	1436727 	1186269 
EXP,CAN,THS_EUR,DK	265773 	238444 	234245 	229960 	168086 	174070 	182126 	175466 	176365 	199986 	168416 	123958 	157785 	161738 	174730 	106040 	101039 
EXP,CAN,THS_EUR,EE	31257 	29434 	39759 	40089 	29906 	27624 	31013 	32473 	35347 	48794 	52575 	20527 	47926 	48809 	45345 	20249 	19909 
